animal_id_outcome,outcome_type
A665599,Missing
A665603,Died
A665604,Transfer
A665605,Missing
A665606,Return to Owner
A665608,Transfer
A665609,Relocate
A665610,Died
A665611,Transfer
A665614,Transfer
A665615,Return to Owner
A665617,Transfer
A665618,Rto-Adopt
A665619,Return to Owner
A665619,Return to Owner
A665620,Return to Owner
A665621,Adoption
A665622,Transfer
A665623,Adoption
A665624,Missing
A665625,Return to Owner
A665627,Missing
A665628,Died
A665629,Transfer
A665629,Return to Owner
A665629,Return to Owner
A665632,Transfer
A665632,Rto-Adopt
A665633,Transfer
A665634,Adoption
A665635,Transfer
A665636,Transfer
A665637,Transfer
A665638,Adoption
A665640,Euthanasia
A665641,Relocate
A665642,Return to Owner
A665644,Missing
A665645,Euthanasia
A665648,Transfer
A665649,Transfer
A665650,Transfer
A665651,Adoption
A665653,Transfer
A665654,Missing
A665655,Transfer
A665656,Transfer
A665657,Transfer
A665658,Return to Owner
A665659,Adoption
A665660,Transfer
A665661,Return to Owner
A665661,Adoption
A665662,Adoption
A665664,Transfer
A665666,Died
A665667,Died
A665668,Missing
A665669,Adoption
A665670,Euthanasia
A665671,Died
A665672,Transfer
A665673,Euthanasia
A665674,Missing
A665675,Rto-Adopt
A665676,Died
A665678,Died
A665680,Rto-Adopt
A665681,Adoption
A665682,Adoption
A665682,Adoption
A665683,Adoption
A665684,Adoption
A665685,Euthanasia
A665686,Rto-Adopt
A665686,Adoption
A665687,Adoption
A665688,Missing
A665689,Euthanasia
A665690,Transfer
A665691,Adoption
A665692,Adoption
A665693,Return to Owner
A665694,Died
A665696,Return to Owner
A665697,Return to Owner
A665698,Adoption
A665700,Euthanasia
A665701,Euthanasia
A665702,Adoption
A665705,Disposal
A665706,Disposal
A665708,Adoption
A665709,Euthanasia
A665710,Died
A665711,Transfer
A665712,Adoption
A665712,Rto-Adopt
A665713,Died
A665713,Transfer
A665714,Transfer
A665714,Transfer
A665717,Missing
A665719,Adoption
A665720,Missing
A665721,Transfer
A665723,Died
A665725,Adoption
A665736,Missing
A665737,Adoption
A665738,Return to Owner
A665739,Adoption
A665740,Relocate
A665741,Return to Owner
A665741,Transfer
A665742,Adoption
A665743,Died
A665743,Adoption
A665744,Adoption
A665745,Rto-Adopt
A665746,Transfer
A665746,Adoption
A665747,Missing
A665750,Adoption
A665753,Transfer
A665755,Adoption
A665757,Died
A665758,Return to Owner
A665760,Return to Owner
A665761,Adoption
A665762,Adoption
A665763,Adoption
A665764,Transfer
A665765,Euthanasia
A665775,Adoption
A665776,Euthanasia
A665778,Adoption
A665781,Missing
A665782,Transfer
A665784,Euthanasia
A665785,Missing
A665786,Euthanasia
A665793,Adoption
A665794,Adoption
A665795,Euthanasia
A665798,Transfer
A665799,Adoption
A665800,Rto-Adopt
A665801,Transfer
A665802,Adoption
A665803,Transfer
A665804,Adoption
A665807,Euthanasia
A665808,Euthanasia
A665811,Euthanasia
A665812,Adoption
A665813,Adoption
A665815,Transfer
A665816,Euthanasia
A665817,Rto-Adopt
A665821,Transfer
A665831,Died
A665831,Return to Owner
A665838,Transfer
A665840,Transfer
A665841,Return to Owner
A665841,Relocate
A665842,Adoption
A665843,Adoption
A665844,Euthanasia
A665846,Euthanasia
A665848,Died
A665849,Transfer
A665850,Return to Owner
A665851,Euthanasia
A665853,Transfer
A665854,Transfer
A665855,Transfer
A665856,Transfer
A665857,Transfer
A665859,Transfer
A665861,Died
A665863,Return to Owner
A665864,Return to Owner
A665865,Return to Owner
A665866,Return to Owner
A665869,Missing
A665869,Adoption
A665870,Adoption
A665871,Adoption
A665872,Return to Owner
A665873,Rto-Adopt
A665873,Transfer
A665874,Return to Owner
A665874,Return to Owner
A665874,Return to Owner
A665882,Transfer
A665883,Transfer
A665885,Return to Owner
A665888,Transfer
A665888,Adoption
A665889,Adoption
A665890,Adoption
A665891,Rto-Adopt
A665892,Transfer
A665893,Return to Owner
A665893,Transfer
A665894,Missing
A665895,Transfer
A665896,Adoption
A665897,Transfer
A665898,Adoption
A665900,Euthanasia
A665901,Missing
A665902,Euthanasia
A665904,Euthanasia
A665906,Adoption
A665907,Adoption
A665908,Return to Owner
A665909,Adoption
A665910,Transfer
A665911,Missing
A665914,Transfer
A665916,Transfer
A665918,Adoption
A665918,Missing
A665919,Euthanasia
A665920,Relocate
A665922,Died
A665923,Return to Owner
A665923,Return to Owner
A665925,Transfer
A665926,Transfer
A665927,Adoption
A665928,Relocate
A665929,Adoption
A665932,Return to Owner
A665937,Adoption
A665938,Transfer
A665939,Relocate
A665943,Return to Owner
A665944,Transfer
A665947,Return to Owner
A665948,Transfer
A665953,Euthanasia
A665957,Transfer
A665959,Return to Owner
A665959,Return to Owner
A665961,Transfer
A665962,Return to Owner
A665962,Return to Owner
A665963,Euthanasia
A665965,Transfer
A665967,Transfer
A665968,Transfer
A665969,Transfer
A665970,Relocate
A665971,Transfer
A665972,Rto-Adopt
A665973,Adoption
A665974,Adoption
A665975,Adoption
A665976,Euthanasia
A665977,Return to Owner
A665978,Adoption
A665979,Relocate
A665980,Adoption
A665981,Adoption
A665982,Return to Owner
A665983,Died
A665984,Return to Owner
A665985,Missing
A665986,Transfer
A665989,Died
A665990,Return to Owner
A665992,Transfer
A665993,Adoption
A665993,Rto-Adopt
A665994,Adoption
A665994,Died
A666001,Died
A666003,Return to Owner
A666003,Transfer
A666004,Rto-Adopt
A666005,Disposal
A666013,Transfer
A666014,Transfer
A666015,Transfer
A666016,Died
A666017,Died
A666018,Return to Owner
A666028,Died
A666032,Adoption
A666034,Adoption
A666035,Adoption
A666040,Died
A666041,Transfer
A666043,Adoption
A666045,Transfer
A666046,Transfer
A666047,Return to Owner
A666048,Transfer
A666050,Adoption
A666051,Transfer
A666052,Transfer
A666054,Adoption
A666055,Missing
A666058,Rto-Adopt
A666059,Rto-Adopt
A666063,Died
A666064,Adoption
A666065,Died
A666066,Adoption
A666067,Return to Owner
A666068,Euthanasia
A666071,Relocate
A666072,Transfer
A666073,Transfer
A666074,Died
A666075,Transfer
A666076,Adoption
A666077,Adoption
A666078,Missing
A666080,Return to Owner
A666082,Transfer
A666083,Euthanasia
A666084,Return to Owner
A666085,Missing
A666086,Adoption
A666087,Adoption
A666088,Adoption
A666089,Adoption
A666090,Adoption
A666091,Adoption
A666092,Euthanasia
A666093,Adoption
A666094,Rto-Adopt
A666095,Rto-Adopt
A666096,Transfer
A666097,Missing
A666098,Return to Owner
A666099,Transfer
A666099,Relocate
A666100,Return to Owner
A666101,Euthanasia
A666107,Rto-Adopt
A666109,Adoption
A666110,Adoption
A666110,Adoption
A666110,Relocate
A666111,Adoption
A666112,Transfer
A666117,Adoption
A666118,Rto-Adopt
A666119,Rto-Adopt
A666120,Return to Owner
A666121,Return to Owner
A666122,Missing
A666123,Adoption
A666124,Euthanasia
A666125,Rto-Adopt
A666129,Transfer
A666130,Return to Owner
A666131,Adoption
A666132,Adoption
A666133,Adoption
A666137,Adoption
A666138,Adoption
A666139,Adoption
A666144,Relocate
A666149,Adoption
A666150,Adoption
A666151,Relocate
A666152,Transfer
A666153,Euthanasia
A666154,Rto-Adopt
A666155,Return to Owner
A666156,Euthanasia
A666160,Transfer
A666160,Adoption
A666161,Relocate
A666162,Transfer
A666163,Adoption
A666164,Return to Owner
A666165,Transfer
A666166,Euthanasia
A666167,Died
A666168,Transfer
A666169,Missing
A666170,Adoption
A666171,Rto-Adopt
A666172,Euthanasia
A666173,Euthanasia
A666174,Transfer
A666175,Euthanasia
A666176,Transfer
A666177,Adoption
A666178,Rto-Adopt
A666180,Missing
A666181,Adoption
A666183,Adoption
A666184,Adoption
A666185,Died
A666186,Euthanasia
A666186,Transfer
A666187,Adoption
A666189,Return to Owner
A666189,Return to Owner
A666190,Transfer
A666192,Return to Owner
A666194,Adoption
A666195,Euthanasia
A666197,Euthanasia
A666198,Transfer
A666199,Adoption
A666200,Adoption
A666202,Euthanasia
A666204,Missing
A666209,Euthanasia
A666211,Adoption
A666212,Adoption
A666213,Died
A666214,Transfer
A666215,Return to Owner
A666217,Adoption
A666218,Died
A666219,Died
A666220,Adoption
A666221,Return to Owner
A666221,Adoption
A666221,Return to Owner
A666227,Adoption
A666229,Transfer
A666232,Rto-Adopt
A666234,Died
A666235,Rto-Adopt
A666241,Adoption
A666242,Died
A666246,Died
A666247,Return to Owner
A666248,Transfer
A666249,Died
A666250,Transfer
A666251,Return to Owner
A666253,Euthanasia
A666254,Euthanasia
A666255,Adoption
A666257,Transfer
A666258,Adoption
A666259,Adoption
A666260,Return to Owner
A666261,Euthanasia
A666262,Adoption
A666263,Transfer
A666264,Adoption
A666265,Transfer
A666266,Adoption
A666267,Transfer
A666270,Return to Owner
A666272,Euthanasia
A666273,Euthanasia
A666281,Adoption
A666283,Adoption
A666284,Transfer
A666286,Relocate
A666287,Adoption
A666288,Relocate
A666291,Euthanasia
A666299,Adoption
A666302,Return to Owner
A666303,Missing
A666306,Relocate
A666307,Missing
A666308,Transfer
A666309,Transfer
A666310,Missing
A666311,Adoption
A666312,Adoption
A666313,Adoption
A666314,Euthanasia
A666315,Transfer
A666316,Return to Owner
A666317,Missing
A666319,Euthanasia
A666320,Missing
A666321,Relocate
A666322,Adoption
A666323,Euthanasia
A666324,Adoption
A666325,Rto-Adopt
A666327,Adoption
A666328,Adoption
A666329,Relocate
A666330,Adoption
A666332,Adoption
A666337,Adoption
A666343,Adoption
A666345,Transfer
A666350,Return to Owner
A666352,Euthanasia
A666352,Return to Owner
A666353,Euthanasia
A666354,Relocate
A666355,Transfer
A666356,Rto-Adopt
A666357,Transfer
A666358,Adoption
A666359,Euthanasia
A666360,Died
A666361,Relocate
A666362,Return to Owner
A666362,Return to Owner
A666364,Return to Owner
A666368,Adoption
A666371,Return to Owner
A666371,Return to Owner
A666371,Adoption
A666373,Transfer
A666377,Missing
A666380,Return to Owner
A666380,Return to Owner
A666380,Return to Owner
A666381,Adoption
A666382,Relocate
A666384,Euthanasia
A666385,Transfer
A666386,Adoption
A666388,Return to Owner
A666389,Return to Owner
A666390,Return to Owner
A666390,Return to Owner
A666391,Return to Owner
A666395,Adoption
A666396,Transfer
A666397,Adoption
A666400,Adoption
A666401,Adoption
A666401,Adoption
A666403,Euthanasia
A666404,Euthanasia
A666405,Transfer
A666407,Euthanasia
A666408,Transfer
A666409,Transfer
A666411,Return to Owner
A666412,Transfer
A666413,Adoption
A666415,Return to Owner
A666415,Return to Owner
A666416,Return to Owner
A666419,Euthanasia
A666420,Disposal
A666421,Return to Owner
A666423,Euthanasia
A666425,Return to Owner
A666427,Euthanasia
A666428,Euthanasia
A666429,Return to Owner
A666430,Transfer
A666436,Adoption
A666439,Transfer
A666442,Return to Owner
A666443,Transfer
A666444,Transfer
A666445,Adoption
A666446,Missing
A666448,Transfer
A666449,Transfer
A666450,Died
A666451,Adoption
A666452,Return to Owner
A666454,Return to Owner
A666454,Died
A666455,Transfer
A666456,Transfer
A666457,Transfer
A666458,Return to Owner
A666458,Transfer
A666467,Adoption
A666468,Euthanasia
A666469,Euthanasia
A666470,Adoption
A666472,Transfer
A666473,Missing
A666475,Euthanasia
A666476,Return to Owner
A666478,Relocate
A666479,Adoption
A666482,Euthanasia
A666484,Transfer
A666487,Adoption
A666488,Return to Owner
A666489,Euthanasia
A666490,Relocate
A666491,Return to Owner
A666491,Return to Owner
A666494,Euthanasia
A666495,Adoption
A666496,Return to Owner
A666497,Euthanasia
A666498,Missing
A666498,Rto-Adopt
A666500,Transfer
A666501,Transfer
A666502,Adoption
A666503,Adoption
A666504,Transfer
A666505,Return to Owner
A666506,Transfer
A666507,Transfer
A666508,Missing
A666509,Adoption
A666510,Adoption
A666511,Euthanasia
A666512,Adoption
A666513,Adoption
A666514,Adoption
A666515,Return to Owner
A666516,Transfer
A666517,Died
A666518,Relocate
A666519,Transfer
A666520,Transfer
A666521,Adoption
A666522,Euthanasia
A666522,Adoption
A666523,Transfer
A666524,Adoption
A666526,Missing
A666527,Return to Owner
A666528,Transfer
A666529,Transfer
A666534,Euthanasia
A666535,Transfer
A666536,Euthanasia
A666538,Return to Owner
A666539,Adoption
A666540,Adoption
A666541,Transfer
A666542,Return to Owner
A666542,Return to Owner
A666543,Transfer
A666543,Adoption
A666544,Missing
A666545,Transfer
A666546,Euthanasia
A666547,Adoption
A666548,Adoption
A666549,Died
A666550,Relocate
A666551,Adoption
A666554,Relocate
A666555,Adoption
A666559,Adoption
A666559,Adoption
A666560,Return to Owner
A666563,Adoption
A666565,Adoption
A666567,Transfer
A666568,Return to Owner
A666568,Return to Owner
A666569,Return to Owner
A666569,Return to Owner
A666570,Return to Owner
A666570,Return to Owner
A666575,Transfer
A666576,Transfer
A666577,Missing
A666578,Transfer
A666579,Return to Owner
A666580,Return to Owner
A666582,Adoption
A666585,Transfer
A666585,Transfer
A666586,Relocate
A666587,Missing
A666588,Adoption
A666589,Relocate
A666590,Adoption
A666591,Adoption
A666592,Return to Owner
A666592,Adoption
A666593,Died
A666594,Transfer
A666595,Adoption
A666596,Transfer
A666597,Transfer
A666598,Rto-Adopt
A666598,Missing
A666598,Adoption
A666599,Euthanasia
A666600,Transfer
A666601,Transfer
A666602,Transfer
A666603,Missing
A666604,Transfer
A666605,Rto-Adopt
A666606,Transfer
A666607,Transfer
A666608,Return to Owner
A666609,Transfer
A666610,Return to Owner
A666611,Euthanasia
A666613,Adoption
A666615,Adoption
A666615,Return to Owner
A666617,Return to Owner
A666617,Return to Owner
A666617,Return to Owner
A666617,Return to Owner
A666618,Transfer
A666621,Adoption
A666622,Adoption
A666624,Adoption
A666626,Adoption
A666627,Transfer
A666628,Died
A666629,Adoption
A666630,Euthanasia
A666636,Adoption
A666638,Transfer
A666638,Adoption
A666639,Adoption
A666641,Relocate
A666642,Return to Owner
A666642,Return to Owner
A666643,Missing
A666644,Adoption
A666644,Adoption
A666644,Adoption
A666645,Died
A666646,Transfer
A666647,Missing
A666648,Return to Owner
A666649,Return to Owner
A666651,Return to Owner
A666652,Return to Owner
A666653,Adoption
A666654,Return to Owner
A666654,Adoption
A666655,Transfer
A666656,Rto-Adopt
A666657,Adoption
A666658,Adoption
A666659,Missing
A666660,Adoption
A666660,Return to Owner
A666661,Adoption
A666662,Transfer
A666663,Relocate
A666664,Transfer
A666665,Missing
A666666,Relocate
A666667,Adoption
A666668,Rto-Adopt
A666668,Died
A666669,Return to Owner
A666671,Missing
A666672,Adoption
A666676,Adoption
A666677,Died
A666678,Return to Owner
A666679,Transfer
A666680,Transfer
A666682,Missing
A666684,Return to Owner
A666685,Return to Owner
A666690,Disposal
A666692,Rto-Adopt
A666693,Return to Owner
A666693,Relocate
A666698,Transfer
A666700,Rto-Adopt
A666701,Adoption
A666702,Died
A666703,Adoption
A666706,Transfer
A666707,Euthanasia
A666709,Transfer
A666711,Died
A666712,Missing
A666713,Transfer
A666714,Transfer
A666715,Return to Owner
A666716,Adoption
A666717,Adoption
A666718,Adoption
A666719,Adoption
A666722,Transfer
A666723,Return to Owner
A666723,Relocate
A666725,Died
A666725,Adoption
A666727,Euthanasia
A666728,Adoption
A666728,Relocate
A666731,Adoption
A666732,Adoption
A666732,Adoption
A666733,Transfer
A666739,Transfer
A666741,Euthanasia
A666742,Rto-Adopt
A666743,Euthanasia
A666745,Euthanasia
A666747,Adoption
A666748,Adoption
A666749,Died
A666749,Rto-Adopt
A666752,Adoption
A666752,Return to Owner
A666752,Return to Owner
A666753,Adoption
A666755,Euthanasia
A666756,Adoption
A666757,Adoption
A666760,Transfer
A666760,Return to Owner
A666760,Return to Owner
A666760,Return to Owner
A666760,Return to Owner
A666762,Adoption
A666763,Transfer
A666764,Adoption
A666766,Died
A666768,Return to Owner
A666768,Return to Owner
A666768,Return to Owner
A666768,Died
A666768,Return to Owner
A666769,Rto-Adopt
A666770,Adoption
A666773,Euthanasia
A666779,Transfer
A666780,Rto-Adopt
A666781,Return to Owner
A666781,Return to Owner
A666782,Adoption
A666783,Adoption
A666784,Adoption
A666785,Rto-Adopt
A666786,Rto-Adopt
A666787,Adoption
A666788,Adoption
A666789,Euthanasia
A666790,Adoption
A666791,Rto-Adopt
A666792,Transfer
A666794,Adoption
A666794,Died
A666795,Died
A666797,Transfer
A666799,Transfer
A666801,Adoption
A666802,Transfer
A666803,Missing
A666805,Transfer
A666806,Adoption
A666807,Return to Owner
A666809,Rto-Adopt
A666810,Missing
A666811,Transfer
A666812,Transfer
A666813,Transfer
A666814,Adoption
A666815,Adoption
A666816,Rto-Adopt
A666817,Died
A666817,Adoption
A666818,Adoption
A666819,Transfer
A666820,Transfer
A666821,Relocate
A666822,Missing
A666823,Adoption
A666825,Return to Owner
A666827,Euthanasia
A666831,Relocate
A666832,Euthanasia
A666835,Return to Owner
A666836,Return to Owner
A666838,Return to Owner
A666840,Transfer
A666841,Transfer
A666842,Transfer
A666843,Rto-Adopt
A666845,Return to Owner
A666850,Euthanasia
A666851,Adoption
A666852,Euthanasia
A666853,Adoption
A666854,Euthanasia
A666859,Euthanasia
A666861,Missing
A666862,Transfer
A666863,Transfer
A666864,Return to Owner
A666865,Adoption
A666866,Missing
A666866,Adoption
A666867,Adoption
A666868,Adoption
A666869,Transfer
A666870,Euthanasia
A666871,Relocate
A666872,Adoption
A666873,Died
A666874,Return to Owner
A666875,Transfer
A666876,Rto-Adopt
A666877,Rto-Adopt
A666879,Died
A666882,Died
A666883,Return to Owner
A666884,Adoption
A666885,Adoption
A666886,Rto-Adopt
A666887,Adoption
A666888,Relocate
A666889,Adoption
A666890,Adoption
A666891,Adoption
A666892,Adoption
A666893,Adoption
A666894,Adoption
A666895,Adoption
A666896,Transfer
A666897,Return to Owner
A666899,Return to Owner
A666900,Died
A666901,Return to Owner
A666902,Return to Owner
A666903,Return to Owner
A666904,Return to Owner
A666905,Euthanasia
A666906,Rto-Adopt
A666907,Adoption
A666908,Return to Owner
A666910,Return to Owner
A666911,Adoption
A666913,Transfer
A666914,Adoption
A666915,Return to Owner
A666916,Rto-Adopt
A666917,Transfer
A666918,Transfer
A666919,Transfer
A666920,Missing
A666921,Missing
A666922,Transfer
A666923,Died
A666924,Return to Owner
A666924,Return to Owner
A666925,Died
A666926,Adoption
A666927,Euthanasia
A666928,Died
A666929,Transfer
A666930,Return to Owner
A666931,Transfer
A666933,Transfer
A666935,Return to Owner
A666936,Adoption
A666937,Transfer
A666938,Transfer
A666939,Adoption
A666940,Adoption
A666941,Died
A666942,Euthanasia
A666943,Return to Owner
A666944,Adoption
A666945,Adoption
A666946,Return to Owner
A666952,Adoption
A666952,Adoption
A666954,Rto-Adopt
A666955,Adoption
A666956,Adoption
A666957,Adoption
A666957,Adoption
A666958,Adoption
A666959,Adoption
A666960,Euthanasia
A666961,Transfer
A666962,Transfer
A666963,Relocate
A666964,Rto-Adopt
A666965,Transfer
A666966,Return to Owner
A666967,Return to Owner
A666968,Adoption
A666969,Transfer
A666970,Relocate
A666971,Died
A666972,Adoption
A666973,Adoption
A666973,Return to Owner
A666974,Transfer
A666974,Return to Owner
A666975,Rto-Adopt
A666976,Rto-Adopt
A666977,Adoption
A666978,Transfer
A666979,Adoption
A666980,Adoption
A666981,Adoption
A666985,Transfer
A666986,Transfer
A666989,Transfer
A666990,Euthanasia
A666991,Died
A666992,Adoption
A666993,Return to Owner
A666994,Adoption
A667002,Transfer
A667005,Transfer
A667006,Transfer
A667007,Transfer
A667008,Adoption
A667009,Adoption
A667010,Transfer
A667011,Adoption
A667013,Transfer
A667014,Transfer
A667015,Adoption
A667015,Adoption
A667016,Transfer
A667017,Adoption
A667018,Relocate
A667020,Transfer
A667020,Adoption
A667021,Missing
A667023,Adoption
A667024,Transfer
A667025,Missing
A667026,Transfer
A667027,Transfer
A667028,Missing
A667030,Missing
A667031,Transfer
A667032,Died
A667033,Missing
A667034,Transfer
A667035,Rto-Adopt
A667036,Transfer
A667037,Transfer
A667038,Adoption
A667041,Adoption
A667042,Adoption
A667043,Adoption
A667044,Died
A667048,Transfer
A667049,Adoption
A667054,Transfer
A667058,Transfer
A667060,Transfer
A667061,Adoption
A667062,Adoption
A667065,Adoption
A667066,Euthanasia
A667067,Adoption
A667068,Missing
A667072,Died
A667073,Return to Owner
A667074,Transfer
A667075,Adoption
A667076,Missing
A667077,Rto-Adopt
A667078,Adoption
A667079,Transfer
A667080,Transfer
A667081,Euthanasia
A667082,Relocate
A667083,Transfer
A667083,Missing
A667084,Transfer
A667085,Missing
A667087,Transfer
A667088,Transfer
A667089,Euthanasia
A667090,Euthanasia
A667091,Died
A667092,Euthanasia
A667093,Transfer
A667094,Euthanasia
A667095,Adoption
A667096,Euthanasia
A667097,Adoption
A667098,Adoption
A667099,Adoption
A667100,Transfer
A667102,Euthanasia
A667103,Transfer
A667104,Transfer
A667105,Return to Owner
A667108,Transfer
A667109,Relocate
A667109,Adoption
A667111,Missing
A667113,Return to Owner
A667113,Return to Owner
A667114,Rto-Adopt
A667118,Euthanasia
A667120,Missing
A667121,Return to Owner
A667121,Return to Owner
A667123,Died
A667127,Transfer
A667129,Died
A667130,Adoption
A667132,Transfer
A667135,Return to Owner
A667136,Return to Owner
A667138,Return to Owner
A667142,Transfer
A667143,Died
A667144,Adoption
A667145,Adoption
A667146,Adoption
A667148,Transfer
A667149,Transfer
A667150,Adoption
A667151,Transfer
A667152,Return to Owner
A667153,Euthanasia
A667155,Adoption
A667156,Missing
A667157,Adoption
A667159,Adoption
A667160,Transfer
A667163,Return to Owner
A667165,Transfer
A667166,Missing
A667167,Transfer
A667170,Return to Owner
A667174,Return to Owner
A667177,Euthanasia
A667177,Return to Owner
A667177,Return to Owner
A667178,Return to Owner
A667178,Return to Owner
A667182,Adoption
A667183,Adoption
A667184,Rto-Adopt
A667184,Adoption
A667185,Adoption
A667186,Transfer
A667187,Died
A667188,Adoption
A667190,Return to Owner
A667192,Died
A667195,Adoption
A667196,Transfer
A667197,Transfer
A667199,Transfer
A667200,Missing
A667201,Adoption
A667201,Rto-Adopt
A667203,Adoption
A667203,Adoption
A667204,Return to Owner
A667205,Return to Owner
A667206,Euthanasia
A667207,Adoption
A667209,Adoption
A667210,Adoption
A667218,Transfer
A667218,Transfer
A667221,Adoption
A667222,Transfer
A667225,Euthanasia
A667227,Return to Owner
A667228,Adoption
A667229,Adoption
A667230,Adoption
A667231,Rto-Adopt
A667232,Adoption
A667240,Died
A667241,Adoption
A667242,Died
A667242,Adoption
A667243,Transfer
A667244,Adoption
A667245,Relocate
A667245,Died
A667251,Euthanasia
A667256,Died
A667257,Euthanasia
A667258,Adoption
A667259,Return to Owner
A667261,Transfer
A667262,Missing
A667263,Rto-Adopt
A667267,Rto-Adopt
A667268,Transfer
A667269,Adoption
A667270,Transfer
A667271,Transfer
A667272,Adoption
A667273,Transfer
A667274,Transfer
A667275,Missing
A667276,Died
A667277,Return to Owner
A667277,Transfer
A667279,Adoption
A667280,Adoption
A667281,Transfer
A667282,Adoption
A667283,Return to Owner
A667284,Euthanasia
A667285,Adoption
A667286,Died
A667287,Transfer
A667288,Relocate
A667289,Transfer
A667291,Transfer
A667292,Adoption
A667293,Rto-Adopt
A667294,Adoption
A667298,Adoption
A667299,Euthanasia
A667300,Euthanasia
A667301,Return to Owner
A667302,Return to Owner
A667307,Return to Owner
A667308,Return to Owner
A667311,Adoption
A667312,Return to Owner
A667313,Return to Owner
A667316,Adoption
A667316,Adoption
A667317,Rto-Adopt
A667318,Adoption
A667319,Return to Owner
A667320,Rto-Adopt
A667321,Euthanasia
A667322,Missing
A667323,Transfer
A667324,Transfer
A667325,Transfer
A667326,Return to Owner
A667327,Return to Owner
A667328,Adoption
A667329,Adoption
A667330,Adoption
A667330,Adoption
A667331,Adoption
A667331,Adoption
A667332,Transfer
A667333,Return to Owner
A667333,Return to Owner
A667335,Transfer
A667336,Adoption
A667337,Transfer
A667338,Transfer
A667339,Return to Owner
A667339,Return to Owner
A667339,Return to Owner
A667341,Return to Owner
A667342,Return to Owner
A667344,Adoption
A667345,Adoption
A667346,Adoption
A667348,Transfer
A667349,Transfer
A667350,Relocate
A667351,Transfer
A667352,Missing
A667353,Return to Owner
A667354,Missing
A667355,Adoption
A667355,Rto-Adopt
A667356,Return to Owner
A667357,Transfer
A667357,Transfer
A667358,Adoption
A667359,Return to Owner
A667361,Adoption
A667363,Euthanasia
A667364,Missing
A667365,Adoption
A667366,Return to Owner
A667372,Adoption
A667374,Return to Owner
A667378,Adoption
A667379,Adoption
A667383,Adoption
A667384,Relocate
A667386,Adoption
A667387,Adoption
A667387,Relocate
A667388,Transfer
A667390,Adoption
A667391,Return to Owner
A667392,Adoption
A667393,Adoption
A667395,Return to Owner
A667396,Return to Owner
A667397,Transfer
A667398,Transfer
A667400,Adoption
A667400,Adoption
A667400,Relocate
A667401,Transfer
A667402,Adoption
A667404,Return to Owner
A667405,Transfer
A667406,Adoption
A667407,Missing
A667408,Relocate
A667409,Return to Owner
A667409,Transfer
A667410,Euthanasia
A667411,Adoption
A667411,Died
A667412,Relocate
A667413,Adoption
A667414,Adoption
A667415,Return to Owner
A667416,Adoption
A667416,Missing
A667419,Adoption
A667420,Died
A667421,Rto-Adopt
A667422,Transfer
A667423,Transfer
A667424,Transfer
A667425,Relocate
A667426,Relocate
A667431,Adoption
A667432,Return to Owner
A667433,Euthanasia
A667434,Adoption
A667439,Return to Owner
A667440,Euthanasia
A667443,Transfer
A667446,Transfer
A667447,Transfer
A667448,Relocate
A667452,Rto-Adopt
A667454,Euthanasia
A667455,Missing
A667456,Rto-Adopt
A667458,Return to Owner
A667458,Return to Owner
A667458,Return to Owner
A667458,Adoption
A667459,Adoption
A667460,Return to Owner
A667460,Adoption
A667461,Adoption
A667462,Adoption
A667463,Rto-Adopt
A667464,Adoption
A667464,Died
A667467,Return to Owner
A667468,Return to Owner
A667469,Transfer
A667470,Adoption
A667472,Adoption
A667474,Died
A667475,Missing
A667481,Return to Owner
A667482,Transfer
A667484,Euthanasia
A667487,Return to Owner
A667489,Return to Owner
A667490,Return to Owner
A667491,Euthanasia
A667492,Euthanasia
A667495,Transfer
A667496,Transfer
A667497,Transfer
A667498,Rto-Adopt
A667499,Euthanasia
A667505,Transfer
A667507,Return to Owner
A667508,Relocate
A667508,Return to Owner
A667511,Euthanasia
A667512,Rto-Adopt
A667513,Adoption
A667516,Transfer
A667517,Transfer
A667518,Return to Owner
A667519,Transfer
A667520,Transfer
A667521,Return to Owner
A667523,Adoption
A667524,Euthanasia
A667525,Relocate
A667526,Missing
A667526,Transfer
A667527,Return to Owner
A667528,Euthanasia
A667529,Transfer
A667530,Missing
A667532,Euthanasia
A667533,Transfer
A667534,Euthanasia
A667535,Transfer
A667537,Died
A667538,Relocate
A667541,Transfer
A667543,Euthanasia
A667544,Rto-Adopt
A667545,Return to Owner
A667547,Transfer
A667549,Transfer
A667550,Return to Owner
A667551,Euthanasia
A667553,Euthanasia
A667555,Euthanasia
A667557,Missing
A667558,Transfer
A667570,Euthanasia
A667574,Euthanasia
A667575,Euthanasia
A667576,Transfer
A667577,Transfer
A667578,Return to Owner
A667579,Transfer
A667580,Transfer
A667584,Missing
A667585,Euthanasia
A667589,Died
A667590,Euthanasia
A667591,Adoption
A667593,Rto-Adopt
A667596,Return to Owner
A667596,Return to Owner
A667596,Adoption
A667597,Adoption
A667599,Return to Owner
A667600,Adoption
A667600,Adoption
A667606,Adoption
A667607,Transfer
A667613,Missing
A667616,Euthanasia
A667616,Adoption
A667619,Transfer
A667624,Adoption
A667625,Missing
A667626,Rto-Adopt
A667627,Return to Owner
A667631,Transfer
A667632,Return to Owner
A667632,Return to Owner
A667632,Return to Owner
A667633,Transfer
A667635,Euthanasia
A667651,Adoption
A667651,Adoption
A667654,Adoption
A667657,Adoption
A667658,Missing
A667662,Return to Owner
